source,target,source label,label,predicate_type,predicate uri
0,18178,whole wheat crispbread,whole- shape achieved by forming- thickness 0.3-1.5 cm.,has quality,
0,21456,whole wheat crispbread,fully heat-treated,has quality,
0,21457,whole wheat crispbread,seed- skin present- germ present,derives from,
2,21458,gruenland cheese,solid,has quality,
2,21459,gruenland cheese,partially heat-treated,has quality,
2,21460,gruenland cheese,curd,derives from,
2,4883,gruenland cheese,lactic acid-other agent fermentation process,formed as a result of,
2,21461,gruenland cheese,pasteurization by heating,formed as a result of,
9,21458,lisita (raw),solid,has quality,
9,21462,lisita (raw),not heat-treated,has quality,
9,18205,lisita (raw),skeletal meat part,derives from,
10,21463,light cream,liquid- low viscosity- with no visible particles,has quality,
10,21459,light cream,partially heat-treated,has quality,
10,10846,light cream,mammalian light cream (18%-30%),derives from,
10,21461,light cream,pasteurization by heating,formed as a result of,
12,21464,coffee bean (whole or ground),whole- natural shape,has quality,
12,21465,coffee bean (whole or ground),seed- skin removed- germ present,derives from,
13,14683,pudding sugar-free instant,finely ground,has quality,
13,21456,pudding sugar-free instant,fully heat-treated,has quality,
13,7107,pudding sugar-free instant,dry mix,has quality,
13,21466,pudding sugar-free instant,starch,derives from,
13,21467,pudding sugar-free instant,water removal process,formed as a result of,
13,21468,pudding sugar-free instant,preservation by dehydration or drying,formed as a result of,
13,21469,pudding sugar-free instant,nonnutritive sweetener added,has substance added,
13,21470,pudding sugar-free instant,flavoring or taste ingredient added,has substance added,
13,21471,pudding sugar-free instant,http://purl.obolibrary.org/obo/FOODON_03460279,has substance added,
13,16148,pudding sugar-free instant,sugars free food,has consumer,
14,2978,vegetable shortening,semisolid with smooth consistency,has quality,
14,21459,vegetable shortening,partially heat-treated,has quality,
14,484,vegetable shortening,fat or oil,derives from,
14,3094,vegetable shortening,food hydrogenation proess,formed as a result of,
14,15738,vegetable shortening,food bleaching process,formed as a result of,
14,12776,vegetable shortening,food alkalization process,formed as a result of,
15,9719,soup base flavored with beef extract,food (liquid),has quality,
15,21456,soup base flavored with beef extract,fully heat-treated,has quality,
15,21472,soup base flavored with beef extract,flavoring or spice extract or concentrate added,has substance added,
16,21458,beef eye round (roasted),solid,has quality,
16,21456,beef eye round (roasted),fully heat-treated,has quality,
16,7843,beef eye round (roasted),round or leg (meat cut),has quality,
16,19022,beef eye round (roasted),skeletal meat part- without bone- without skin,derives from,
16,12823,beef eye round (roasted),food baking process,formed as a result of,
21,21464,guava (dried),whole- natural shape,has quality,
21,21473,guava (dried),fruit- peel present- core- pit or seed present,derives from,
21,21467,guava (dried),water removal process,formed as a result of,
21,21468,guava (dried),preservation by dehydration or drying,formed as a result of,
22,21463,fruit sherbet (artificially sweetened),liquid- low viscosity- with no visible particles,has quality,
22,21459,fruit sherbet (artificially sweetened),partially heat-treated,has quality,
22,21474,fruit sherbet (artificially sweetened),milk or milk component,derives from,
